Ref. No.,Organisation Name,Grant Status,Start Date,End Date,Revised End Date,BCC Directorate,Actual Funding Award,"Annual Total 
2012/2013","Annual Total 
2013/2014","Annual Total
2014/2015",Overall Total Paid
1001793,BIRMINGHAM ROYAL BALLET,Approved,01.04.2014,31.03.2016,,Development,"280,000.00",,,"70,000.00","70,000.00"
1001794,CBSO,Approved,01.01.2014,31.03.2015,,Development,"1,460,000.00",,,"301,153.00","301,153.00"
1001795,THE DANCEXCHANGE LTD,Approved,01.04.2014,31.03.2016,,Development,"1,195,000.00",,,"306,011.00","306,011.00"
1001796,NEWTOWN CULTURAL PROJECT LTD,Approved,01.04.2014,31.03.2016,,Development,"160,000.00",,,"20,000.00","20,000.00"
1001797,EX CATHEDRA LTD,Approved,01.04.2014,31.03.2015,,Economy,"760,000.00",,,"190,000.00","190,000.00"
1001798,IKON GALLERY LTD,Approved,01.04.2014,31.03.2015,,Development,"47,500.00",,,"18,806.25","18,806.25"
1001800,SAMPAD SOUTH ASIAN ARTS,Approved,01.04.2014,31.03.2016,,Development,"84,500.00",,,"42,250.00","42,250.00"
1001834,THEATRE ARK,Completed,20.12.2013,31.07.2014,,Development,"80,000.00",,,"20,000.00","20,000.00"
1001843,BIRMINGHAM CONTEMPORARY MUSIC GROUP,Approved,20.12.2013,31.07.2014,,Development,"7,730.00",,"6,957.00",773,"7,730.00"
1001850,CRAFTSPACE,Completed,20.12.2013,31.07.2014,,Development,"7,000.00",,,"6,300.00","6,300.00"
1001873,MIDLAND ACTORS THEATRE,Completed,20.12.2013,31.07.2014,,Development,"13,500.00",,,"13,500.00","13,500.00"
1001877,POLISH EXPATS ASSOCIATION,Completed,20.12.2013,31.07.2014,,Development,"3,000.00",,"2,700.00",300,"3,000.00"
1001884,ARGY BHAJI,Approved,20.12.2013,31.07.2014,,Development,"10,547.00",,"9,492.30","1,054.70","10,547.00"
1001976,WITTON LODGE COMM ASSN,Approved,01.11.2013,31.03.2014,,Development,"5,262.00",,"4,735.80",274.2,"5,010.00"
1001977,THE JERICHO FOUNDATION,Approved,01.11.2013,31.03.2014,,Development,"70,000.00",,"60,350.00","9,650.00","70,000.00"
1001978,PERTEMPS PEOPLE DEVELOPMENT GROUP L,Approved,01.11.2013,31.03.2014,,Development,"70,000.00",,"37,708.00","32,292.00","70,000.00"
1001979,NORTHFIELD TOWN CTR PARTNERSHIP LTD,Approved,01.11.2013,31.03.2014,,Development,"68,071.00",,"52,150.00","15,921.00","68,071.00"
1001980,PHOENIX TRAINING SERVICES MIDS LTD,Approved,01.11.2013,31.03.2014,,Hodge Hill District,"63,301.20",,"39,884.00","21,120.00","61,004.00"
1002041,CAPSULE,Approved,22.05.2014,31.12.2014,,Development,"70,000.00",,"48,500.00","21,500.00","70,000.00"
1002042,BE FESTIVAL C I C,Approved,10.04.2014,31.12.2014,,Economy,"15,000.00",,,"13,500.00","13,500.00"
1002043,PUNCH RECORDS DJ WORKSHOPS LTD,Approved,07.05.2014,31.12.2014,,Homes & Neighbourhoods,"11,000.00",,,"9,900.00","9,900.00"
1002044,WRITING WEST MIDLANDS LTD,Approved,04.09.2014,31.03.2015,,Economy,"15,000.00",,,"13,500.00","13,500.00"
1002045,BIRMINGHAM INTERNATNL JAZZ FESTIVAL,Approved,10.04.2014,31.12.2014,,Economy,"10,000.00",,,"9,000.00","9,000.00"
1002046,FLATPACK FESTIVAL,Approved,10.04.2014,31.12.2014,,Economy,"20,000.00",,,"18,000.00","18,000.00"
1002049,PROFESSIONAL INCREDIBLES,Approved,19.06.2014,31.03.2015,,Development,"10,000.00",,,"9,000.00","9,000.00"
1002050,POLISH EXPATS ASSOCIATION,Approved,04.09.2014,31.03.2015,,Economy,"3,000.00",,,"2,700.00","2,700.00"
1002051,BIRMINGHAM LGBT,Approved,10.04.2014,31.12.2014,,Economy,"2,500.00",,,"2,250.00","2,250.00"
1002078,SIMMER DOWN CIC,Approved,01.03.2014,31.12.2014,,Economy,"4,000.00",,,"3,600.00","3,600.00"
1002105,APPLES AND SNAKES LTD,Approved,11.03.2014,31.07.2015,,Environment & Culture,"9,000.00",,,"8,100.00","8,100.00"
1002140,CANAL & RIVER TRUST,Approved,09.01.2014,30.09.2014,,Development,"11,435.00",,"10,291.50","1,143.50","11,435.00"
1002154,PROFESSIONAL INCREDIBLES,Approved,01.06.2014,30.11.2014,,Economy,"6,050,000.00",,"94,095.09","1,214,651.50","1,308,746.59"
1002155,THE KOKNI MUSLIM ASSOCIATION,Approved,28.03.2014,28.03.2014,,Economy,"12,000.00",,,"10,800.00","10,800.00"
1002157,WALMLEY CHURCH CENTRE PLAYGROUP,Approved,01.04.2014,30.09.2014,,Adults & Communities,"10,000.00",,0,"10,000.00","10,000.00"
1002158,WARD END ASIAN ELDERS WELFARE ASSOC,Approved,01.04.2014,30.09.2014,,Adults & Communities,"8,417.00",,,"8,417.00","8,417.00"
1002159,ROSEMARIE DAY CENTRE,Approved,01.04.2014,30.09.2014,,Adults & Communities,"10,823.00",,,"10,823.00","10,823.00"
1002160,THE MUATH TRUST,Approved,01.04.2014,30.09.2014,,Adults & Communities,"13,484.00",,,"13,484.00","13,484.00"
1002161,GRANGE PARK & DIGBY NORTH RES ASSN,Approved,01.04.2014,30.09.2014,,Adults & Communities,"16,570.00",,,"16,570.00","16,570.00"
1002162,FOCUS BIRMINGHAM,Approved,01.04.2014,30.09.2014,,Adults & Communities,"8,500.00",,,"8,500.00","8,500.00"
1002163,CEREBRAL PALSY MIDLANDS,Approved,01.04.2014,30.09.2014,,Adults & Communities,"27,890.00",,,"27,890.00","27,890.00"
1002164,BIRMINGHAM PHOBIC FELLOWSHIP,Approved,01.04.2014,30.09.2014,,Adults & Communities,"10,625.00",,,"10,625.00","10,625.00"
1002165,BREAKTHROUGH DEAFHEARING INTEGRATIO,Approved,01.04.2014,30.09.2014,,Adults & Communities,"1,746.00",,,"1,746.00","1,746.00"
1002167,URC SUTTON COLDFIELD CAFE OASIS,Approved,01.04.2014,30.09.2014,,Adults & Communities,"25,070.00",,,"25,070.00","25,070.00"
1002168,C BROM METHODIST CHURCH LUNCH CLUB,Approved,01.04.2014,30.09.2014,,Adults & Communities,"1,382.00",,,691,691
1002169,AGE UK BIRMINGHAM LTD,Approved,01.04.2014,30.09.2014,,Adults & Communities,169,,,169,169
1002170,AGE CONCERN BIRMINGHAM,Approved,01.04.2014,30.09.2014,,Adults & Communities,"86,500.00",,,"86,500.00","86,500.00"
1002171,ACE RESOURCE CENTRE,Approved,01.04.2014,30.09.2014,,Adults & Communities,"108,510.00",,,"108,510.00","108,510.00"
1002172,ACTION FOR BLIND PEOPLE,Approved,01.04.2014,30.09.2014,,Adults & Communities,"22,978.00",,,"22,978.00","22,978.00"
1002173,THE DIGBETH TRUST,Approved,01.04.2014,30.09.2014,,Adults & Communities,"10,625.00",,,"10,625.00","10,625.00"
1002174,ACCESS COMMITTEE FOR BIRMINGHAM,Approved,10.04.2014,31.03.2015,,Economy,"27,539.00",,,"27,539.00","27,539.00"
1002176,NEW HALL VALLEY COUNTRY PARK,Approved,03.04.2014,30.06.2014,,Sutton Coldfield District,"90,331.00",,,"45,165.50","45,165.50"
1002177,BORDESLEY GREEN FORUM,Approved,03.04.2014,10.04.2014,,Hodge Hill District,545,,,545,545
1002178,KINGS HEATH CENTRE PARTNERSHIP,Approved,03.04.2014,04.04.2014,09.05.2014,Hall Green District,"3,000.00",,,"3,000.00","3,000.00"
1002179,FOX HOLLIES N/HOOD FORUM,Completed,03.04.2014,03.04.2015,,Yardley District,"5,000.00",,,"5,000.00","5,000.00"
1002180,HALL GREEN METHODIST CHURCH,Approved,10.04.2014,11.04.2014,,Hall Green District,"1,200.00",,,"1,200.00","1,200.00"
1002181,LIVING STREETS SERVICES LTD,Approved,28.02.2014,30.06.2015,,Economy,"1,000.00",,,"1,000.00","1,000.00"
1002182,KINGS HEATH CENTRE PARTNERSHIP,Approved,10.04.2014,11.04.2014,,Hall Green District,"164,448.00",,,"60,000.00","60,000.00"
1002183,BHAM TUC CENTRE FOR THE UNEMPLOYED,Approved,10.04.2014,11.04.2014,,Hall Green District,500,,,500,500
1002184,LIFE EDUCATION CENTRES WESTMIDLANDS,Approved,10.04.2014,11.04.2014,,Hall Green District,"2,000.00",,,"2,000.00","2,000.00"
1002185,PODNOSH LTD,Approved,10.04.2014,11.04.2014,12.04.2014,Hall Green District,480,,,480,480
1002187,ASHIANA COMMUNITY PROJECT EARLY YEA,Approved,01.04.2013,31.03.2014,,People,"6,120.00",,,"6,120.00","6,120.00"
1002189,CROSSOVER ENTERPRISES LTD,Completed,01.04.2013,31.03.2014,,People,"25,000.00",,0,"25,000.00","25,000.00"
1002192,HANDSWORTH DAY CARE CENTRE,Completed,01.04.2013,31.03.2014,,People,"49,310.00",,0,"49,310.00","49,310.00"
1002194,BIRMINGHAM CRISIS CENTRE,Approved,01.04.2013,31.03.2014,,People,"52,326.47",,0,"52,326.00","52,326.00"
1002196,PARKS FOR PLAY,Completed,01.10.2013,31.03.2014,,People,"25,280.00",,0,"25,280.00","25,280.00"
1002197,BALSALL HEATH FORUM,Approved,12.04.2014,13.04.2014,,Hall Green District,"2,291.52",,0,"2,291.52","2,291.52"
1002202,BLUE ORANGE ARTS LTD,Approved,03.06.2014,31.03.2015,,Economy,"1,000.00",,,"1,000.00","1,000.00"
1002203,THE EDGBASTON ARTS CONTACT GROUP,Approved,28.06.2014,31.03.2015,,Economy,"8,973.00",,,"8,075.70","8,075.70"
1002204,SOME CITIES CIC,Approved,30.07.2014,31.03.2015,,Economy,"10,000.00",,,"9,000.00","9,000.00"
1002208,LOUDEEMY PRODUCTIONS,Approved,12.06.2014,31.03.2015,,Economy,"3,000.00",,,"2,700.00","2,700.00"
1002209,FRICTION ARTS LTD,Approved,03.07.2014,31.03.2015,,Economy,"9,290.00",,,"8,361.00","8,361.00"
1002211,ACE DANCE AND MUSIC,Approved,20.06.2014,31.03.2015,,Economy,"10,000.00",,,"9,000.00","9,000.00"
1002212,BHAM HIPPODROME THEATRE TRUST LTD,Completed,10.04.2013,16.04.2014,,Economy,"9,632.00",,,"8,668.80","8,668.80"
1002213,SPARKHILL UNITED,Approved,24.04.2014,24.04.2014,,Hall Green District,"10,000.00",,,"4,338.00","4,338.00"
1002214,A.K UNITY C.C,Approved,25.04.2014,26.04.2014,,Hall Green District,750,,,750,750
1002217,GOSPEL OAK COMMUNITY CENTRE,Approved,01.05.2014,31.03.2015,,Yardley District,736,,,736,736
1002218,WESTLEY VALE MILLENNIUM GREEN TRUST,Approved,02.05.2014,31.03.2015,,Yardley District,"5,040.00",,,"2,520.00","2,520.00"
1002219,ACOCKS GREEN CARERS GROUP,Approved,02.05.2014,31.03.2015,,Yardley District,300,,,300,300
1002221,F I T C A P,Approved,02.05.2014,31.03.2015,,Yardley District,"1,208.00",,,604,604
1002222,F I T C A P,Approved,02.05.2014,31.03.2015,,Yardley District,"6,000.00",,,"5,400.00","5,400.00"
1002223,F I T C A P,Approved,02.05.2014,31.03.2015,,Yardley District,"2,139.00",,,"1,925.00","1,925.00"
1002224,F I T C A P,Approved,02.05.2014,31.03.2015,,Yardley District,"10,500.00",,,"9,450.00","9,450.00"
1002226,SISTER RUBEN AND FRIENDS,Approved,09.05.2014,28.07.2014,,Place,"5,000.00",,,"4,500.00","4,500.00"
1002228,UNITED IN DANCE,Approved,10.05.2014,31.05.2014,01.06.2014,Hall Green District,500,,,500,500
1002229,PODNOSH LTD,Approved,10.05.2014,11.05.2014,,Hall Green District,814.19,,,814.19,814.19
1002231,BEST FOR BUSINESS EA CIC,Approved,14.05.2014,31.03.2015,,Yardley District,624,,,624,624
1002232,FOX HOLLIES COMMUNITY ASSOCIATION,Approved,14.05.2014,31.03.2015,,Yardley District,"3,000.00",,,"3,000.00","3,000.00"
1002233,ADVOCACY MATTERS LTD,Approved,01.04.2014,20.06.2014,,People,"1,500.00",,,"1,500.00","1,500.00"
1002234,POHWER,Approved,01.04.2014,09.05.2014,,People,"59,449.61",,,"59,449.61","59,449.61"
1002235,PARKS FOR PLAY,Completed,01.01.2014,31.03.2014,,People,"27,539.00",,,"27,539.00","27,539.00"
1002236,STRAIGHT PATH,Approved,30.05.2014,29.11.2014,,Place,"11,423.48",,0,"11,423.48","11,423.48"
1002238,BIRMINGHAM ROYAL BALLET,Approved,23.06.2014,31.03.2015,,Economy,400,,,400,400
1002240,THE DANCEXCHANGE LTD,Approved,14.07.2014,31.03.2015,,Economy,"4,000.00",,,"3,600.00","3,600.00"
1002242,TYSELEY & DISTRICT COMMUNITY ASSOC,Approved,30.05.2014,30.09.2014,,Hall Green District,"4,000.00",,,"3,600.00","3,600.00"
1002243,RE. FUTURE,Approved,28.05.2014,31.03.2015,,Economy,"3,000.00",,,"3,000.00","3,000.00"
1002247,NEWTOWN CULTURAL PROJECT LTD,Approved,14.07.2014,31.03.2015,,Economy,"2,965.00",,,"2,668.50","2,668.50"
1002249,HIGHCROFT COMMUNITY CENTRE,Approved,04.06.2014,30.06.2014,,Erdington District,"4,000.00",,,"3,600.00","3,600.00"
1002250,ELIM CHURCH KINGSTANDING,Approved,10.06.2014,31.03.2015,,Erdington District,20,,,20,20
1002251,BECAUSEOFOURSARAH,Approved,10.06.2014,31.03.2015,,Erdington District,"3,725.00",,,"3,725.00","3,725.00"
1002252,KINGSTANDING REGENERATION TRUST,Approved,10.06.2014,31.03.2015,,Erdington District,"1,959.00",,,"1,959.00","1,959.00"
1002255,POHWER,Approved,09.05.2014,09.05.2014,,People,"7,500.00",,,"7,500.00","7,500.00"
1002256,WEST HANDSWORTH NEIGHBOURHOOD FORUM,Approved,27.06.2014,28.07.2014,,Place,153.31,,,153.31,153.31
1002257,HANDSWORTH WOOD COMM. DEVEL. TRUST,Approved,27.06.2014,28.07.2014,,Place,"2,670.00",,,"2,670.00","2,670.00"
1002260,ERDINGTON BAPTIST CHURCH,Approved,03.07.2014,03.07.2014,,Erdington District,"4,975.00",,,"4,975.00","4,975.00"
1002261,GET HOOKED ON FISHING MIDLANDS,Approved,03.07.2014,31.03.2015,,Yardley District,"1,000.00",,,"1,000.00","1,000.00"
1002262,GET HOOKED ON FISHING MIDLANDS,Approved,03.07.2014,31.03.2015,,Yardley District,"1,350.00",,,"1,350.00","1,350.00"
1002263,SHELDON COMMUNITY CHURCH,Approved,03.07.2014,31.03.2015,,Yardley District,"4,000.00",,,"3,600.00","3,600.00"
1002264,F I T C A P,Approved,03.07.2014,31.03.2015,,Yardley District,"3,000.00",,,"3,000.00","3,000.00"
1002265,YMCA SUTTON COLDFIELD,Approved,04.07.2014,29.03.2015,,Erdington District,"3,500.00",,,"3,150.00","3,150.00"
1002266,BETHANY PENTECOSTAL CHURCH,Approved,07.07.2014,07.07.2014,,Erdington District,"23,000.00",,,"23,000.00","23,000.00"
1002267,YMCA SUTTON COLDFIELD,Approved,07.07.2014,07.07.2014,,Erdington District,"1,500.00",,,"1,500.00","1,500.00"
1002268,RISE AND SHINE 4U,Approved,07.07.2014,07.07.2014,,Erdington District,"1,750.00",,,"1,750.00","1,750.00"
1002269,URBAN DEVOTION BIRMINGHAM,Approved,07.07.2014,07.07.2014,,Erdington District,"2,000.00",,,"2,000.00","2,000.00"
1002270,CASTLE VALE TRA (B'HAM) LTD,Approved,07.07.2014,07.07.2014,,Erdington District,"5,552.00",,,"5,552.00","5,552.00"
1002271,ERDINGTON ELIM CHURCH,Approved,07.07.2014,07.07.2014,,Erdington District,"7,000.00",,,"7,000.00","7,000.00"
1002272,COMMUNITY ENVIRONMENTAL TRUST,Approved,07.07.2014,07.07.2014,,Erdington District,500,,,500,500
1002276,BE FESTIVAL CIC,Approved,19.08.2014,31.03.2015,,Economy,"3,500.00",,,"3,500.00","3,500.00"
